"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STRA8",-0.224595833118869,0.472504642186474,-1.57249984792621,0.11647876605874,0.374570333589733,-4.75471596049875
"AGBL3",-0.164446413766905,2.5957263311638,-1.57231344367684,0.116521971936128,0.374578485700433,-4.7549865630533
"GPR109A",0.293092608421715,7.04793511034947,1.57166118995864,0.11667325456288,0.374933940866757,-4.75593318825015
"MUC5B",0.670328694963934,11.0361398428453,1.57112302365198,0.116798192421903,0.375135737601941,-4.75671394419329
"GALNT4",0.190878854500928,9.40195948355126,1.57103984096579,0.116817513077347,0.375135737601941,-4.75683459959969
"ADORA2B",0.191241997007794,7.56798189507732,1.5708519219469,0.116861169873483,0.37514512880264,-4.75710715043233
"BHLHE41",-0.215306067337403,8.39383666564752,-1.57059163557044,0.116921660069517,0.375208532836323,-4.75748460694317
"LRRC74B",-0.342122411640218,1.73480943555767,-1.57032557395845,0.11698351790934,0.37523604558576,-4.75787037450925
"TEX11",-0.205565689375441,1.36477900616313,-1.57020431703943,0.117011718015451,0.37523604558576,-4.75804616567212
"CCDC144NL",0.186485794253543,0.664207944687859,1.56953774430062,0.117166835079032,0.375602697903893,-4.75901228387947
"HSD17B7P2",-0.160480378881891,5.50470800837987,-1.56920723468304,0.117243807466269,0.375686199529857,-4.75949116791538
"C6orf147",-0.178316077780485,3.73680819837089,-1.56888395039333,0.117319135663546,0.375686199529857,-4.75995948646036
"C7orf68",0.203989016923842,8.5222176201118,1.56878745449921,0.117341627473118,0.375686199529857,-4.76009925457717
"CHST6",0.3156983725589,6.88374360615529,1.5687255970434,0.117356047344994,0.375686199529857,-4.76018884666317
"TBX20",0.180367309681092,0.52394898170744,1.56822482476403,0.117472836014497,0.37576422603649,-4.7609140183229
"FAM186A",-0.186140618709841,2.61604100880314,-1.568112803733,0.117498973756302,0.37576422603649,-4.76107620537149
"LPIN3",-0.15108691071699,8.7129963887641,-1.56809632173804,0.117502819868088,0.37576422603649,-4.76110006747786
"XIST",-0.367783032415665,7.78998004645,-1.56761818229324,0.117614437965891,0.375990619113453,-4.76179219450376
"NR2E3",-0.148279270328538,1.53833408740583,-1.56671888936757,0.117824597309789,0.376531763089229,-4.76309339325257
"TAS1R1",-0.316831963028837,2.70761911318966,-1.56650243591155,0.11787522528279,0.376551522342429,-4.76340647230547
"AHSA2",-0.208964045926595,8.62904787577424,-1.56610805528971,0.117967514029881,0.376551522342429,-4.76397679582666
"C2orf58",-0.210129602691798,3.00126265475563,-1.56601198259623,0.117990004547649,0.376551522342429,-4.76411570739299
"COL21A1",-0.326560441469354,6.7358223553527,-1.56599354702358,0.117994320681895,0.376551522342429,-4.76414236243465
"DPEP3",-0.220975614429452,1.11548016533242,-1.56547753558625,0.118115179637454,0.376806652047437,-4.76488831075006
"LCAT",-0.185285990368987,6.13448767402156,-1.56388429101545,0.118488960278682,0.3778602294359,-4.76718997701172
"FTL",-0.15172116676521,16.2345845094193,-1.56372027326965,0.118527492165072,0.3778602294359,-4.76742679211666
"KIF24",0.160315728900692,6.58595883776427,1.56309881600867,0.118673577500427,0.378195034179562,-4.76832385296955
